"scientific_name" "category" "criteria"
"Crossodactylus cyclospinus" "DD" NA
"Hynobius yangi" "EN" "B1ab(iii)"
"Adenomera thomei" "LC" NA
"Cornufer bufonulus" "DD" NA
"Litoria nudidigita" "LC" NA
"Raorchestes sahai" "DD" NA
"Pristimantis carlossanchezi" "DD" NA
"Litoria scabra" "DD" NA
"Pseudohynobius shuichengensis" "VU" "B1ab(iii)"
"Neurergus strauchii" "VU" "B1ab(iii)"
"Notophthalmus perstriatus" "NT" NA
"Litoria dayi" "EN" "A2ac"
"Bufotes balearicus" "LC" NA
"Bufotes siculus" "LC" NA
"Bufotes turanensis" "LC" NA
"Haddadus aramunha" "DD" NA
"Adenomera ajurauna" "DD" NA
"Leptodactylus cupreus" "DD" NA
"Centrolene condor" "DD" NA
"Rulyrana mcdiarmidi" "DD" NA
"Dendrophryniscus krausae" "DD" NA
"Phasmahyla spectabilis" "DD" NA
"Phasmahyla timbo" "DD" NA
"Physalaemus insperatus" "DD" NA
"Pristimantis achuar" "LC" NA
"Pristimantis altamnis" "LC" NA
"Pristimantis kichwarum" "LC" NA
"Trachycephalus dibernardoi" "LC" NA
"Melanophryniscus alipioi" "DD" NA
"Hylodes cardosoi" "LC" NA
"Melanophryniscus langonei" "CR" "B2ab(iii)"
"Ecnomiohyla rabborum" "CR" "A2ace; B1ab(iii)"
"Dendropsophus reichlei" "DD" NA
"Chiasmocleis avilapiresae" "LC" NA
"Holoaden pholeter" "DD" NA
"Litoria christianbergmanni" "LC" NA
"Litoria mareku" "DD" NA
"Ansonia latiffi" "DD" NA
"Ansonia jeetsukumarani" "DD" NA
"Amolops assamensis" "DD" NA
"Ghatixalus asterops" "DD" NA
"Paratelmatobius gaigeae" "DD" NA
"Paratelmatobius lutzii" "DD" NA
"Hynobius yatsui" "LC" NA
"Pedostibes kempi" "DD" NA
"Pedostibes tuberculosus" "EN" "B1ab(iii)"
"Bufotes zugmayeri" "LC" NA
"Adenomera coca" "DD" NA
"Pelobates fuscus" "LC" NA
"Phaeognathus hubrichti" "EN" "B1ab(iii)+2ab(iii)"
"Philoria frosti" "CR" "A2ace; B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v); C2b"
"Phrynomedusa fimbriata" "EX" NA
"Hypsiboas tepuianus" "LC" NA
"Pristimantis fasciatus" "EN" "B1ab(iii)"
"Pristimantis turik" "DD" NA
"Pristimantis yukpa" "LC" NA
"Uraeotyphlus gansi" "DD" NA
"Arthroleptis fichika" "EN" "B1ab(i,iii)"
"Arthroleptis kidogo" "CR" "B1ab(iii)"
"Arthroleptis langeri" "DD" NA
"Phrynobatrachus intermedius" "CR" "B1ab(iii)"
"Phrynobatrachus chukuchuku" "CR" "B1ab(iii)"
"Plethodon larselli" "NT" NA
"Plethodon neomexicanus" "NT" NA
"Plethodon nettingi" "NT" NA
"Plethodon stormi" "EN" "B1ab(iii)"
"Plethodon shenandoah" "VU" "D2"
"Plethodon caddoensis" "NT" NA
"Plethodon fourchensis" "VU" "D2"
"Plethodon hubrichti" "VU" "D2"
"Plethodon ouachitae" "NT" NA
"Morerella cyanophthalma" "VU" "B1ab(iii)"
"Proteus anguinus" "VU" "B2ab(ii,iii,v)"
"Sphaenorhynchus mirim" "DD" NA
"Urspelerpes brucei" "LC" NA
"Pseudophryne bibronii" "NT" NA
"Pseudophryne corroboree" "CR" "A2ace+3ce; B2ab(ii,iii,iv,v); C1"
"Pseudophryne australis" "VU" "B1ab(ii,iii,iv)"
"Raorchestes chlorosomma" "CR" "B1ab(iii)"
"Raorchestes kaikatti" "CR" "B1ab(iii)+2ab(iii)"
"Raorchestes marki" "CR" "B1ab(iii)+2ab(iii)"
"Pseudophilautus singu" "EN" "B2ab(ii,iii)"
"Pseudophilautus tanu" "EN" "B2ab(iii)"
"Philautus davidlabangi" "DD" NA
"Xanthophryne tigerina" "CR" "B1ab(iii,v)+2ab(iii,v)"
"Raorchestes resplendens" "CR" "B1ab(v)+2ab(v)"
"Hypsiboas stellae" "LC" NA
"Scinax tigrinus" "LC" NA
"Gastrotheca flamma" "DD" NA
"Ameerega boehmei" "LC" NA
"Lithobates fisheri" "EX" NA
"Rana latastei" "VU" "B2ab(iii)"
"Babina holsti" "EN" "B1ab(iii,v)"
"Babina subaspera" "EN" "B1ab(iii)"
"Rana boylii" "NT" NA
"Rana cascadae" "NT" NA
"Rana muscosa" "EN" "B2ab(ii,iv,v); C2a(i)"
"Lithobates onca" "EN" "B2ab(v); C2a(i)"
"Rana pretiosa" "VU" "A2ace"
"Lithobates subaquavocalis" "CR" "B2ab(ii,iv,v)"
"Lithobates yavapaiensis" "LC" NA
"Lithobates tlaloci" "CR" "B1ab(iii,v)+2ab(iii,v)"
"Rana pyrenaica" "EN" "B1ab(ii,iii,iv)"
"Ranodon sibiricus" "EN" "B2ab(iii,iv,v)"
"Dendrotriton chujorum" "CR" "B1ab(iii)"
"Dendrotriton kekchiorum" "EN" "B1ab(iii)"
"Rheobatrachus silus" "EX" NA
"Rheobatrachus vitellinus" "EX" NA
"Scinax belloni" "EN" "B1ab(iii)"
"Salamandra atra" "LC" NA
"Speleomantes flavus" "VU" "D2"
"Speleomantes genei" "VU" "B1ab(iii)"
"Speleomantes imperialis" "NT" NA
"Speleomantes italicus" "NT" NA
"Speleomantes supramontis" "EN" "B1ab(iii,v)"
"Telmatobius atacamensis" "CR" "A2ace; B1ab(ii,iii,iv,v)+2ab(ii,iii,iv,v)"
"Telmatobius peruvianus" "VU" "B1ab(iii,v)"
"Taudactylus acutirostris" "CR" "A2ace; B2ab(i,ii,iii,iv,v); C2a(i); D"
"Taudactylus diurnus" "EX" NA
"Taudactylus eungellensis" "CR" "B2ab(v)"
"Taudactylus liemi" "NT" NA
"Taudactylus pleione" "CR" "B1ab(v)+2ab(v)"
"Taudactylus rheophilus" "CR" "A2ac; B2ab(v)"
"Thoropa lutzi" "EN" "B1ab(iii,v)+2ab(iii,v)"
