"","auto_id","Scientific.name.species","taxon_name_species","taxon_name_infraspecies","TBN學名_infraspecies","name_c.x","name_e","category","criteria","adjusting","taxon_group","name_code","taxon_rank","tp_tid","ra_tid","taibnet_namecode","uuid","rank","class","class_c","order","order_c","family","family_c","genus","genus_c","name_c.y","is_endemic","is_alien","is_protected"
"59",59,"Anas crecca","Anas crecca","Anas crecca","Anas crecca","小水鴨",NA,"NVU","A2a","[-1]","bird","380060","species",1023555,1023555,NA,"32c10708-3ffd-4f51-8ac5-ea5d44fa62d0","species","Aves","鳥綱","Anseriformes","雁形目","Anatidae","雁鴨科","Anas","鴨屬","小水鴨"," "," "," "
"60",60,"Egretta eulophotes","Egretta eulophotes","Egretta eulophotes","Egretta eulophotes","唐白鷺",NA,"NVU","D","[-1]","bird","380128","species",380128,380128,380128,"f5dfc0e5-6e0e-49a6-8b5e-d1c17e8c246d","species","Aves","鳥綱","Pelecaniformes","鵜形目","Ardeidae","鷺科","Egretta","白鷺屬","唐白鷺"," "," ","Y"
"61",61,"Milvus migrans","Milvus migrans","Milvus migrans","Milvus migrans","黑鳶",NA,"NVU","D"," ","bird","404610","species",1024812,1024812,NA,"3343e3a4-9f28-4f12-81c3-44853ece0b9c","species","Aves","鳥綱","Accipitriformes","鷹形目","Accipitridae","鷹科","Milvus","鳶屬","黑鳶"," "," "," "
"62",62,"Gallicrex cinerea","Gallicrex cinerea","Gallicrex cinerea","Gallicrex cinerea","董雞",NA,"NVU","D","[-1]","bird","380298","species",380298,380298,380298,"e67a95bb-ad16-4e67-b2a8-d962efd5f30f","species","Aves","鳥綱","Gruiformes","鶴形目","Rallidae","秧雞科","Gallicrex","董雞屬","董雞"," "," "," "
"63",63,"Hydrophasianus chirurgus","Hydrophasianus chirurgus","Hydrophasianus chirurgus","Hydrophasianus chirurgus","水雉",NA,"NVU","D"," ","bird","380163","species",380163,380163,380163,"3ee45f50-97fe-4a84-b1a5-2e6d4d72c041","species","Aves","鳥綱","Charadriiformes","?形目","Jacanidae","水雉科","Hydrophasianus","水雉屬","水雉"," "," ","Y"
"64",64,"Numenius arquata","Numenius arquata","Numenius arquata","Numenius arquata","大杓鷸",NA,"NVU","C1","[-1]","bird","380235","species",1024943,1024943,NA,"2a1632b8-e6a2-41da-a4ad-786a156068e0","species","Aves","鳥綱","Charadriiformes","?形目","Scolopacidae","鷸科","Numenius","杓鷸屬","大杓鷸"," "," "," "
"65",65,"Limosa limosa","Limosa limosa","Limosa limosa","Limosa limosa","黑尾鷸",NA,"NVU","C1","[-1]","bird","380232","species",1024659,1024659,NA,"ff6050fa-cdd6-4ed1-9fcc-b7669c86a1b5","species","Aves","鳥綱","Charadriiformes","?形目","Scolopacidae","鷸科","Limosa","塍鷸屬","黑尾鷸"," "," "," "
"66",66,"Limosa lapponica","Limosa lapponica","Limosa lapponica","Limosa lapponica","斑尾鷸",NA,"NVU","C1","[-1]","bird","380231","species",1024658,1024658,NA,"0f11f4ca-c4f7-46c0-9c9e-11e58d0d4912","species","Aves","鳥綱","Charadriiformes","?形目","Scolopacidae","鷸科","Limosa","塍鷸屬","斑尾鷸"," "," "," "
"67",67,"Calidris canutus","Calidris canutus","Calidris canutus","Calidris canutus","紅腹濱鷸",NA,"NVU","A2a;C1","[-1]","bird","432230","species",1023790,1023790,NA,"c4807bca-e6c0-4dfa-9ae3-3b3050e85a0d","species","Aves","鳥綱","Charadriiformes","?形目","Scolopacidae","鷸科","Calidris","濱鷸屬","紅腹濱鷸"," "," "," "
"68",68,"Calidris temminckii","Calidris temminckii","Calidris temminckii","Calidris temminckii","丹氏濱鷸",NA,"NVU","C1","[-1]","bird","380221","species",380221,380221,380221,"8f2d01e3-4ecc-425b-8afb-fbc9daf982d2","species","Aves","鳥綱","Charadriiformes","?形目","Scolopacidae","鷸科","Calidris","濱鷸屬","丹氏濱鷸"," "," "," "
"69",69,"Calidris ruficollis","Calidris ruficollis","Calidris ruficollis","Calidris ruficollis","紅胸濱鷸",NA,"NVU","A2a; C1","[-1]","bird","380219","species",380219,380219,380219,"d6d34aa8-6583-4f69-832b-153ef87b9058","species","Aves","鳥綱","Charadriiformes","?形目","Scolopacidae","鷸科","Calidris","濱鷸屬","紅胸濱鷸"," "," "," "
"70",70,"Calidris alpina","Calidris alpina","Calidris alpina","Calidris alpina","黑腹濱鷸",NA,"NVU","A2a","[-1]","bird","432232","species",1023789,1023789,NA,"e882d691-d35b-4496-864a-c4aaf861d498","species","Aves","鳥綱","Charadriiformes","?形目","Scolopacidae","鷸科","Calidris","濱鷸屬","黑腹濱鷸"," "," "," "
