"","result.scientific_name","result.category","result.criteria"
"577","Pseudophilautus singu","EN","B2ab(ii,iii)"
"578","Pseudophilautus tanu","EN","B2ab(iii)"
"579","Philautus davidlabangi","DD"," "
"580","Xanthophryne tigerina","CR","B1ab(iii,v)+2ab(iii,v)"
"581","Raorchestes resplendens","CR","B1ab(v)+2ab(v)"
"582","Hypsiboas stellae","LC"," "
"583","Scinax tigrinus","LC"," "
"584","Gastrotheca flamma","DD"," "
"585","Ameerega boehmei","LC"," "
"586","Lithobates fisheri","EX"," "
"587","Rana latastei","VU","B2ab(iii)"
"588","Babina holsti","EN","B1ab(iii,v)"
"589","Babina subaspera","EN","B1ab(iii)"
"590","Rana boylii","NT"," "
"591","Rana cascadae","NT"," "
"592","Rana muscosa","EN","B2ab(ii,iv,v); C2a(i)"
"593","Lithobates onca","EN","B2ab(v); C2a(i)"
"594","Rana pretiosa","VU","A2ace"
"595","Lithobates subaquavocalis","CR","B2ab(ii,iv,v)"
"596","Lithobates yavapaiensis","LC"," "
"597","Lithobates tlaloci","CR","B1ab(iii,v)+2ab(iii,v)"
"598","Rana pyrenaica","EN","B1ab(ii,iii,iv)"
"599","Ranodon sibiricus","EN","B2ab(iii,iv,v)"
"600","Dendrotriton chujorum","CR","B1ab(iii)"
"601","Dendrotriton kekchiorum","EN","B1ab(iii)"
"602","Rheobatrachus silus","EX"," "
"603","Rheobatrachus vitellinus","EX"," "
"604","Scinax belloni","EN","B1ab(iii)"
