"","Scientific.name_TBN","Scientific.name_PSL","Chinese.common.name_PSL","prtected_status","Version","tp_tid","taibnet_namecode","uuid","protect.species.list.number","rank","X","X.1","X.2"
"137","Mauremys japonica","Mauremys japonica","日本石龜","II","v1080109",417641,417641,"b09551a8-b711-4cde-bc58-444a41e633d7",734,"species",NA,NA,NA
"138","Mauremys mutica","Mauremys mutica","柴棺龜","I","v1080109",380612,380612,"4b94bfc5-86cf-4c04-a358-83da85980619",735,"species",NA,NA,NA
"139","Mauremys reevesii","Mauremys reevesii","金龜","II","v1080109",380610,380610,"a1148186-eaa1-482a-931f-7b26c9d96a7a",737,"species",NA,NA,NA
"140","Babina okinavana","Babina okinavana","豎琴蛙","II","v1080109",416138,416138,"127088ed-624d-415b-805b-42af0057f031",810,"species",NA,NA,NA
"141","Hylarana taipehensis","Hylarana taipehensis","臺北赤蛙","II","v1080109",416658,416658,"2457ec2f-57ac-496f-b072-e0a310d77226",811,"species",NA,NA,NA
"142","Pelophylax fukienensis","Pelophylax fukienensis","金線蛙","III","v1080109",418420,418420,"631a9f03-306f-4a24-b947-f20244505f4f",812,"species",NA,NA,NA
"143","Rhacophorus arvalis","Rhacophorus arvalis","諸羅樹蛙","II","v1080109",380048,380048,"24ac63cf-dc3f-4431-a176-1f9225c6a56a",813,"species",NA,NA,NA
"144","Rhacophorus aurantiventris","Rhacophorus aurantiventris","橙腹樹蛙","II","v1080109",380049,380049,"ea348cf4-0ae6-4eec-8556-5084d658982e",814,"species",NA,NA,NA
"145","Rhacophorus prasinatus","Rhacophorus prasinatus","翡翠樹蛙","III","v1080109",380051,380051,"8ce5f221-61ad-4e5d-a084-5084d8c9b055",815,"species",NA,NA,NA
"146","Rhacophorus taipeianus","Rhacophorus taipeianus","臺北樹蛙","III","v1080109",380052,380052,"3a7000ea-cb36-4995-8d90-7dcd37c51a34",816,"species",NA,NA,NA
"147","Hynobius arisanensis","Hynobius arisanensis","阿里山山椒魚","II","v1080109",380053,380053,"00a2f8fd-ff08-4b5f-8d37-0880e7320587",818,"species",NA,NA,NA
"148","Hynobius formosanus","Hynobius formosanus","臺灣山椒魚","I","v1080109",380054,380054,"53f81e9d-d079-42a1-a9f1-6fa6e96eaa52",819,"species",NA,NA,NA
"149","Hynobius fuca","Hynobius fuca","觀霧山椒魚","I","v1080109",413087,413087,"e8a89a66-cc57-454f-84ba-2cde6ac5fbd3",820,"species",NA,NA,NA
"150","Hynobius glacialis","Hynobius glacialis","南湖山椒魚","I","v1080109",413088,413088,"9610bea3-8a90-417e-9948-2fabb701fd7f",821,"species",NA,NA,NA
"151","Hynobius sonani","Hynobius sonani","楚南氏山椒魚","I","v1080109",380055,380055,"9ef5200b-f94b-4a6b-bdc8-e8a6ba6a548b",822,"species",NA,NA,NA
"152","Hemimyzon taitungensis","Hemimyzon taitungensis","臺東間爬岩鰍","II","v1080109",380992,380992,"bc1b317b-7389-4426-b00e-dc22a7667e2f",824,"species",NA,NA,NA
