"auto_id" "taxon_name" "name_c" "category" "version" "criteria" "adjusting" "taxon_group" "name_code"
234 "Chlidonias hybrida" "黑腹燕鷗" "NLC" "v1080131" "C; D" NA "bird" "404564"
235 "Caprimulgus affinis stictomus" "台灣夜鷹" "NLC" "v1080131" "C; D" NA "bird" "380495"
236 "Pericrocotus divaricatus" "灰山椒" "NLC" "v1080131" "C; D" NA "bird" "420939"
237 "Lanius cristatus" "紅尾伯勞" "NLC" "v1080131" "C; D" NA "bird" "380368"
238 "Cettia canturians" "遠東樹鶯" "NLC" "v1080131" "C; D" NA "bird" "430647"
239 "Phylloscopus fuscatus" "褐色柳鶯" "NLC" "v1080131" "C; D" NA "bird" "380477"
240 "Phylloscopus inornatus" "黃眉柳鶯" "NLC" "v1080131" "C; D" NA "bird" "380478"
241 "Phylloscopus borealis" "極北柳鶯" "NLC" "v1080131" "C; D" NA "bird" "380475"
242 "Muscicapa dauurica" "寬嘴鶲" "NLC" "v1080131" "C; D" NA "bird" "427293"
243 "Muscicapa griseisticta" "灰斑鶲" "NLC" "v1080131" "C; D" NA "bird" "380389"
244 "Luscinia calliope" "野鴝" "NLC" "v1080131" "C; D" NA "bird" "425210"
245 "Phoenicurus auroreus" "黃尾鴝" "NLC" "v1080131" "C; D" NA "bird" "380393"
246 "Zoothera dauma" "虎斑地鶇" "NLC" "v1080131" "C; D" NA "bird" "380409"
247 "Sturnus sinensis" "灰背椋鳥" "NLC" "v1080131" "C; D" NA "bird" "419844"
248 "Sturnus sericeus" "絲光椋鳥" "NLC" "v1080131" "C; D" NA "bird" "420165"
249 "Anthus hodgsoni" "樹鷚" "NLC" "v1080131" "C; D" NA "bird" "380421"
250 "Anthus cervinus" "赤喉鷚" "NLC" "v1080131" "C; D" NA "bird" "380419"
251 "Emberiza tristrami" "白眉<U+9D50>" "NLC" "v1080131" "C; D" NA "bird" "380354"
252 "Emberiza chrysophrys" "黃眉<U+9D50>" "NLC" "v1080131" "C; D" NA "bird" "380344"
253 "Emberiza pusilla" "小<U+9D50>" "NLC" "v1080131" "C; D" NA "bird" "380349"
254 "Ardenna pacifica" "長尾水薙鳥" "NLC" "v1080131" "D" NA "bird" "432366"
255 "Sula leucogaster" "白腹鰹鳥" "NLC" "v1080131" "D" NA "bird" "380256"
256 "Ixobrychus sinensis" "黃小鷺" "NLC" "v1080131" "D" NA "bird" "380135"
257 "Ixobrychus cinnamomeus" "栗小鷺" "NLC" "v1080131" "D" NA "bird" "385005"
