"auto_id" "taxon_name" "name_c" "redlist_taxon_rank" "category" "version" "criteria" "adjusting" "taxon_group" "name_code" "TBN_scientific_name" "Different_scientific_name" "TBN_taxon_rank" "tp_tid" "ra_tid" "uuid"
79 "Oriolus chinensis" "黃鸝" "species" "NVU" "v1080131" "D" NA "bird" "380330" "Oriolus chinensis" NA "species" 1025011 1025011 "da97cd9a-686f-4f3b-94a9-1623ab914351"
80 "Garrulus glandarius taivanus" "松鴉" "infraspecies" "NVU" "v1080131" "C1" NA "bird" "425203" "Garrulus glandarius taivanus" NA "infraspecies" 425203 425203 "cbe213a8-cdb5-432a-b46f-e54548d75d1b"
81 "Corvus torquatus" "玉頸鴉" "species" "NVU" "v1080131" "D" "[-1]" "bird" "419675" "Corvus torquatus" NA "species" 419675 419675 "4243b89c-0530-4783-86d7-ac65216049b7"
82 "Sitta europaea" "茶腹<U+9CFE>" "species" "NVU" "v1080131" "A2a" NA "bird" "380444" "Sitta europaea" NA "species" 1025494 1025494 "d73cb232-2838-41a8-ab09-8c917ab02db2"
83 "Pycnonotus taivanus" "烏頭翁" "species" "NVU" "v1080131" "A3ce" NA "bird" "380440" "Pycnonotus taivanus" NA "species" 380440 380440 "0f4a4cbf-de63-43e0-bcaa-381c161c63e6"
84 "Phylloscopus ijimae" "飯島柳鶯" "species" "NVU" "v1080131" "D" "[-1]" "bird" "404634" "Phylloscopus ijimae" NA "species" 404634 404634 "100a5f31-51f5-4c3b-a9c3-91c85bbe3849"
85 "Enicurus scouleri fortis" "小剪尾" "infraspecies" "NVU" "v1080131" "C1" NA "bird" "380375" "Enicurus scouleri fortis" NA "infraspecies" 380375 380375 "78fbfc69-ece2-4188-bc6a-feb95dce9704"
86 "Prunella collaris fennelli" "岩鷚" "infraspecies" "NVU" "v1080131" "C1" NA "bird" "380435" "Prunella collaris fennelli" NA "infraspecies" 380435 380435 "35f5b540-ef72-445b-85e0-63b70e3d1d95"
87 "Emberiza sulphurata" "野<U+9D50>" "species" "NVU" "v1080131" "C1;D" NA "bird" "404581" "Emberiza sulphurata" NA "species" 404581 404581 "7d6d0434-7ed4-48d3-92bb-21dc1e5cb97c"
88 "Pyrrhula erythaca owstoni" "灰鷽" "infraspecies" "NVU" "v1080131" "A2a+3a; C1" NA "bird" "380359" "Pyrrhula erythaca owstoni" NA "infraspecies" 380359 380359 "7d509501-7965-46cb-8dfd-b4932d131a87"
